#{"t_start": 1756622989.90913, "env_id": "None"}
r,l,t
553.363233,726,153.231315
499.659381,639,153.400529
563.584962,721,153.919273
505.318147,648,154.091465
512.511445,653,154.265609
541.308156,693,154.771299
472.138044,600,154.929032
469.162569,597,155.08738
490.057882,617,155.570029
515.396664,654,155.744928
463.035708,591,155.899388
483.125504,615,156.385236
558.541248,704,156.572807
506.048506,623,156.737016
523.545255,668,156.91517
496.337557,629,157.401836
555.359853,733,157.596809
475.862185,596,157.753195
537.619294,691,158.257773
543.164547,674,158.438272
570.589333,717,158.628375
556.13858,745,159.149759
567.532814,780,159.357113
444.825083,586,159.512032
529.169408,663,160.006258
472.122644,607,160.166634
493.889596,631,160.332459
534.821611,711,160.839266
433.448819,569,160.990419
462.856402,595,161.145325
485.82772,624,161.633522
471.668212,619,161.795725
470.006174,607,161.956428
463.655669,615,162.438162
489.042187,641,162.606035
461.69663,602,162.764613
428.507359,570,162.912216
506.37287,631,163.399772
491.324618,642,163.571208
449.597399,586,163.726779
562.928094,704,164.233761
484.651374,654,164.407072
495.805151,643,164.576993
475.588864,627,165.058744
460.68098,603,165.217754
469.406787,614,165.377028
482.742831,613,165.857037
508.735083,641,166.027884
462.327945,615,166.18888
439.957999,580,166.342129
495.673458,640,166.829785
427.651743,584,166.98228
486.814724,616,167.143914
514.777069,692,167.649296
503.061095,625,167.811808
449.80786,587,167.964335
513.122752,647,168.457599
464.894173,590,168.61169
478.200139,619,168.774317
463.436275,603,168.931217
517.245853,658,169.424481
483.27682,628,169.588172
506.887014,676,169.766662
522.902066,673,170.265739
452.059261,575,170.41477
490.425412,631,170.579012
501.041301,648,171.069835
561.105285,744,171.268976
494.438082,629,171.434498
561.233867,711,171.94175
479.379583,645,172.110502
517.339765,664,172.286345
500.119555,655,172.777108
462.286242,593,172.932477
536.972715,695,173.116413
520.768675,675,173.611823
479.529264,645,173.783537
519.419988,672,173.958879
571.734881,740,174.478854
448.063168,600,174.635021
520.423512,656,174.808093
477.062889,622,174.971785
532.881403,685,175.472161
542.698509,689,175.654226
543.195775,677,175.833277
543.131473,706,176.342461
550.795195,732,176.534481
543.491876,681,177.030744
529.311072,680,177.208213
508.188817,689,177.395515
491.867837,631,177.568918
595.956073,820,178.11217
612.142028,906,178.351038
604.172565,784,178.877831
582.616577,715,179.0675
552.144716,696,179.253731
548.440137,716,179.760448
591.692177,835,179.981379
604.630163,856,180.526933
485.930391,614,180.686076
531.365515,728,180.878858
574.519208,767,181.408966
552.844953,722,181.601747
577.616911,757,181.80305
546.360241,687,182.304233
535.707721,735,182.49797
542.455692,740,182.693545
564.742714,743,183.21247
609.42644,794,183.424687
626.258645,826,183.968401
606.413523,886,184.206184
533.732988,696,184.388579
569.262909,748,184.907807
569.726427,795,185.11946
568.617553,741,185.315591
512.877523,699,185.820565
453.507727,624,185.984104
570.287194,731,186.177452
575.349234,795,186.713361
525.09857,668,186.888812
575.260665,786,187.415882
615.884597,853,187.643708
511.513575,714,187.830988
560.816499,735,188.347582
604.41754,801,188.562161
567.81693,781,188.770487
611.782926,824,189.322275
578.439671,757,189.521309
646.683218,945,190.133017
548.768739,746,190.329459
570.708355,773,190.533624
535.597767,708,191.039727
563.554479,731,191.232309
609.304732,779,191.441719
602.4129,785,191.969911
555.889464,731,192.163
498.710527,671,192.659206
629.322572,828,192.883095
461.884398,637,193.04956
497.574931,662,193.543363
506.758541,665,193.726445
511.206412,693,193.909255
509.292263,687,194.422826
599.30856,806,194.644854
552.537093,702,194.830326
623.713878,837,195.37376
592.704811,752,195.596564
597.69869,775,195.808837
471.528123,644,196.298626
624.631221,833,196.521471
546.260433,716,197.029002
537.898121,689,197.212475
472.041359,636,197.377673
542.873494,703,197.880876
598.968354,803,198.095106
600.304345,834,198.31797
545.296039,707,198.825803
544.700567,720,199.015044
567.846029,722,199.209299
522.320353,672,199.70741
522.992317,719,199.898618
540.908085,680,200.077227
536.970247,697,200.583069
471.88898,622,200.742991
527.227434,682,200.921565
631.629144,793,201.455116
528.076775,671,201.630475
626.917831,772,201.833709
603.537796,765,202.357241
634.997028,848,202.583905
581.967467,768,203.107583
492.632944,642,203.274676
479.621433,622,203.436112
517.302969,668,203.932549
408.0071,566,204.079241
493.549012,652,204.248359
497.786374,653,204.418713
580.729559,742,204.935999
560.47544,711,205.123663
522.242432,675,205.618795
423.489998,562,205.764061
421.528512,562,205.907924
492.086794,626,206.071105
509.005122,665,206.568081
476.372263,619,206.729513
550.424768,690,206.911417
443.140644,575,207.379018
546.514916,677,207.555525
512.501087,644,207.72227
373.199712,503,208.18269
524.591901,654,208.3544
479.949082,601,208.510943
430.416899,565,208.656763
415.621537,532,209.109884
453.577608,591,209.262965
514.549908,644,209.42971
457.990817,591,209.900785
514.376519,653,210.073288
425.268573,566,210.216538
427.965253,555,210.357975
432.431787,570,210.820888
429.080468,556,210.962159
421.554795,555,211.104674
425.732795,577,211.574666
405.61643,535,211.712359
448.283737,578,211.857311
434.529707,556,211.9968
436.493626,563,212.452282
428.480612,563,212.597334
548.915432,672,212.77387
481.561429,608,213.25189
467.076578,594,213.407112
481.991122,615,213.569988
476.450477,601,213.732058
